SQ_CANDIDATO,QT_VOTOS_NOMINAIS
210000000418,346
210000000419,44
210000000420,650
210000000421,449
210000000422,55
210000000423,13
210000000424,891
210000000425,400
210000000426,13
210000000427,256
210000000428,251
210000000429,13513
210000000431,1053
210000000432,4425
210000000434,326
210000000435,1619
210000000436,591
210000000437,5026
210000000438,846
210000000440,2530
210000000441,9541
210000000442,292
210000000443,269
210000000444,686
210000000445,6741
210000000446,4021
210000000448,690
210000000449,185
210000000450,1220
210000000451,8569
210000000452,577
210000000453,2928
210000000454,615
210000000455,2404
210000000456,705
210000000457,508
210000000458,361
210000000459,237
210000000460,441
210000000461,2426
210000000462,97
210000000463,554
210000000464,125
210000000465,485
210000000466,2478
210000000467,477
210000000468,5575
210000000469,383
210000000470,977
210000000471,1803
210000000472,1796
210000000473,1415
210000000474,3032
210000000475,30
210000000476,2166
210000000477,264
210000000478,102
210000000479,411
210000000480,196
210000000481,637
210000000482,196
210000000483,1103
210000000484,197
210000000485,6617
210000000487,145
210000000488,51
210000000489,51
210000000490,603
210000000491,338
210000000492,460
210000000493,88
210000000494,22
210000000495,1
210000000496,476
210000000497,25
210000000498,31
210000000499,881
210000000500,528
210000000501,157
210000000502,470
210000000503,703
210000000504,985
210000000505,39
210000000506,65
210000000507,58
210000000508,199
210000000509,69
210000000510,94
210000000511,87
210000000512,45
210000000513,23
210000000514,124
210000000515,46293
210000000517,1120
210000000519,107
210000000520,0
210000000521,127
210000000522,2
210000000523,0
210000000524,109
210000000525,156
210000000526,25
210000000527,25
210000000528,85
210000000529,134
210000000530,141
210000000531,9
210000000532,179
210000000533,57
210000000534,6
210000000535,138
210000000536,140
210000000537,62
210000000538,56
210000000539,30
210000000540,35
210000000541,86
210000000542,1296
210000000544,36
210000000545,106
210000000546,143
210000000547,142
210000000548,212
210000000549,163
210000000550,152
210000000551,78
210000000552,229
210000000553,7
210000000554,13
210000000555,142
210000000556,9
210000000557,907
210000000559,69
210000000560,7
210000000561,26
210000000562,65
210000000563,91
210000000564,97
210000000565,99
210000000566,85
210000000567,19
210000000568,73
210000000569,100
210000000570,34
210000000571,112
210000000572,1294
210000000574,133
210000000575,160
210000000576,226
210000000577,173
210000000578,252
210000000579,63
210000000580,133
210000000581,104
210000000582,10
210000000583,95
210000000584,12
210000000585,5
210000000586,785
210000000588,57
210000000589,28
210000000590,7
210000000591,27
210000000592,0
210000000593,0
210000000594,174
210000000595,38
210000000596,69
210000000597,72
210000000598,15
210000000599,4
210000000600,11
210000000601,28
210000000602,2
210000000603,58
210000000604,10
210000000605,1195
210000000607,66
210000000608,107
210000000609,76
210000000610,79
210000000611,41
210000000612,19
210000000613,6
210000000614,57
210000000615,7
210000000616,59
210000000617,198
210000000618,13
210000000619,69
210000000620,78
210000000621,99
210000000622,94
210000000623,8
210000000624,1017
210000000626,32
210000000627,26
210000000628,161
210000000629,115
210000000630,10
210000000631,73
210000000632,85
210000000633,85
210000000634,81
210000000635,70
210000000636,80
210000000637,85
210000000638,133
210000000639,1945
210000000641,51
210000000642,208
210000000643,88
210000000644,110
210000000645,249
210000000646,114
210000000647,176
210000000648,221
210000000649,49
210000000650,85
210000000651,2115
210000000653,1
210000000654,170
210000000655,174
210000000656,108
210000000657,5
210000000658,218
210000000659,334
210000000660,1
210000000661,94
210000000662,46
210000000663,114
210000000664,43
210000000665,121
210000000666,153
210000000667,184
210000000668,261
210000000669,47
210000000670,64
210000000671,434
210000000672,31
210000000673,3
210000000674,367
210000000675,2433
210000000677,486
210000000678,340
210000000679,82
210000000680,293
210000000681,27
210000000682,50
210000000683,149
210000000684,278
210000000685,16
210000000686,218
210000000687,57
210000000688,156
210000000689,181
210000000690,207
210000000691,223
210000000692,105
210000000693,324
210000000694,397
210000000695,7017
210000000697,734
210000000699,39
210000000700,57
210000000701,171
210000000702,41
210000000703,13
210000000704,158
210000000705,18
210000000706,107
210000000707,16
210000000708,87
210000000709,82
210000000711,34
210000000727,2200
210000000729,39
210000000730,169
210000000731,341
210000000732,6
210000000733,212
210000000734,184
210000000735,154
210000000736,128
210000000737,263
210000000738,9
210000000739,91
210000000740,6
210000000741,183
210000000742,0
210000000743,126
210000000744,234
210000000745,200
210000000746,1
210000000747,184
210000000748,353
210000000749,533
210000000750,315
210000000751,13
210000000752,114
210000000753,423
210000000754,184
210000000755,1
210000000756,39
210000000757,12
210000000758,139
210000000759,126323
210000000761,8621
210000000763,328
210000000765,216
210000000766,46
210000000767,126
210000000768,380
210000000769,13
210000000770,25
210000000771,11
210000000772,132
210000000773,231
210000000774,3148
210000000776,243
210000000777,67
210000000778,55
210000000779,155
210000000780,33
210000000781,69
210000000782,231
210000000783,46
210000000784,23
210000000785,62
210000000786,63
210000000787,675
210000000788,167
210000000789,32
210000000790,41
210000000791,72
210000000792,109
210000000793,9
210000000794,90
210000000795,117
210000000796,376
210000000797,38
210000000798,1273
210000000800,109
210000000801,60
210000000802,62
210000000803,64
210000000804,98
210000000805,75
210000000806,68
210000000807,76
210000000808,27
210000000809,74
210000000810,82
210000000811,118
210000000812,71
210000000813,214
210000000814,23
210000000815,49
210000000816,1185
210000000818,61
210000000819,14
210000000820,41
210000000821,23
210000000822,150
210000000823,49
210000000824,60
210000000825,52
210000000826,72
210000000827,35
210000000828,25
210000000829,104
210000000830,94
210000000831,158
210000000832,74
210000000833,55
210000000834,79
210000000835,46
210000000836,615
210000000837,99
210000000838,638
210000000839,1428
210000000841,66
210000000842,21
210000000843,1814
210000000844,123
210000000845,349
210000000846,622
210000000847,1727
210000000848,1037
210000000849,206
210000000850,652
210000000851,336
210000000852,39
210000000853,1258
210000000854,205
210000000855,723
210000000856,1077
210000000857,1179
210000000858,2101
210000000859,2181
210000000860,803
210000000861,18
210000000863,267
210000000864,34
210000000865,69
210000000866,170
210000000867,160
210000000868,651
210000000870,92
210000000871,106
210000000872,62
210000000873,97
210000000874,19
210000000875,32
210000000876,19
210000000877,63
210000000878,50
210000000879,85
210000000880,1013
210000000882,102
210000000883,35
210000000884,64
210000000885,175
210000000886,121
210000000887,112
210000000888,55
210000000889,55
210000000890,133
210000000891,126
210000000892,74
210000000893,103
210000000894,135
210000000895,1371
210000000897,141
210000000898,153
210000000899,40
210000000900,191
210000000901,120
210000000902,168
210000000903,32
210000000904,69
210000000905,126
210000000906,8
210000000907,93
210000000908,154
210000000909,1340
210000000911,76
210000000912,1
210000000913,138
210000000914,1
210000000915,176
210000000916,12
210000000917,51
210000000918,2
210000000919,110
210000000920,149
210000000921,0
210000000922,67
210000000923,101
210000000924,103
210000000925,97
210000000926,144
210000000927,141
210000000928,125
210000000929,1220
210000000931,110
210000000932,123
210000000933,26
210000000934,50
210000000935,112
210000000936,162
210000000937,80
210000000938,132
210000000939,25
210000000940,7
210000000941,96
210000000942,157
210000000943,34
210000000944,31
210000000945,442
210000000947,157
210000000948,236
210000000949,121
210000000950,23
210000000951,153
210000000953,83
210000000954,178
210000000955,358
210000000956,125
210000000957,325
210000000959,29
210000000960,33
210000000961,34
210000000962,15
210000000963,38
210000000964,23
210000000965,52
210000000966,9
210000000967,30
210000000968,1110
210000000970,139
210000000971,110
210000000972,96
210000000973,64
210000000974,78
210000000975,84
210000000976,86
210000000977,190
210000000978,105
210000000979,136
210000000980,79
210000000981,231
210000000982,3592
210000000983,1164
210000000984,5138
210000000985,804
210000000986,290
210000000987,218
210000000988,85
210000000989,687
210000000990,141
210000000991,245
210000000992,1876
210000000993,1947
210000000994,7556
210000000995,64
210000000996,146
210000000997,295
210000000998,459
210000000999,1789
210000001000,701
210000001001,4045
210000001002,908
210000001003,410
210000001004,1309
210000001005,304
210000001006,4402
210000001007,136
210000001008,2267
210000001009,300
210000001010,1225
210000001011,788
210000001012,412
210000001013,881
210000001014,441
210000001015,212
210000001016,1569
210000001017,4183
210000001018,2745
210000001019,422
210000001020,2625
210000001021,408
210000001022,565
210000001023,385
210000001024,3269
210000001025,43
210000001026,2585
210000001027,108
210000001028,873
210000001029,92
210000001030,788
210000001031,240
210000001032,438
210000001033,8940
210000001036,1062
210000001039,256
210000001040,49
210000001041,181
210000001042,168
210000001043,214
210000001044,46
210000001049,21
210000001050,689
210000001051,79
210000001052,5
210000001053,37
210000001054,32
210000001055,473
210000001056,123
210000001057,107
210000001058,326
210000001059,36
210000001060,467
210000001061,127
210000001092,155
210000001093,776
210000001094,696
210000001095,71
210000001096,462
210000001097,107
210000001098,410
210000001099,1220
210000001100,1081
210000001101,559
210000001102,465
210000001103,65
210000001104,25
210000001105,221
210000001106,259
210000001107,1746
210000001108,83
210000001109,55
210000001110,624
210000001111,142
210000001112,1625
210000001114,103
210000001115,24
210000001116,168
210000001117,11
210000001118,29
210000001119,145
210000001120,13
210000001121,154
210000001122,26
210000001123,140
210000001124,137
210000001125,237
210000001126,44
210000001127,131
210000001128,105
210000001129,57085
210000001131,4
210000001132,32
210000001133,15
210000001134,73
210000001135,79
210000001136,3120
210000001138,2011
210000001140,241
210000001141,20
210000001142,219
210000001143,9
210000001144,8
210000001145,7
210000001146,172
210000001147,192
210000001148,211
210000001149,144
210000001150,32
210000001151,84
210000001152,11
210000001153,247
210000001154,13
210000001155,27
210000001156,120
210000001157,5
210000001158,1461
210000001160,44
210000001161,78
210000001162,145
210000001163,27
210000001164,106
210000001165,240
210000001166,95
210000001167,5
210000001168,20
210000001169,147
210000001170,124
210000001171,217
210000001172,99
210000001173,63
210000001174,60
210000001175,457
210000001176,661
210000001177,16
210000001178,837
210000001179,1485
210000001180,21
210000001181,161
210000001182,353
210000001183,16
210000001184,486
210000001185,251
210000001186,354
210000001187,2115
210000001188,824
210000001189,2117
210000001190,471
210000001191,2483
210000001192,185
210000001193,822
210000001194,1698
210000001195,167
210000001196,444
210000001197,151
210000001198,445
210000001199,769
210000001200,612
210000001201,392
210000001202,5
210000001203,451
210000001204,439
210000001205,1714
210000001206,0
210000001207,295
210000001208,36
210000001209,1065
210000001210,1126
210000001211,1669
210000001212,485
210000001213,509
210000001214,5306
210000001215,8005
210000001216,122
210000001217,745
210000001218,117
210000001219,1855
210000001221,10
210000001222,51
210000001223,53
210000001224,107
210000001225,337
210000001226,98
210000001227,20
210000001228,15
210000001229,2
210000001230,22
210000001231,200
210000001232,182
210000001233,13
210000001234,65
210000001235,122
210000001236,208
210000001237,291
210000001238,58
210000001239,1571
210000001241,104
210000001242,123
210000001243,143
210000001244,195
210000001245,151
210000001246,12
210000001247,6
210000001248,144
210000001249,187
210000001250,112
210000001251,230
210000001252,108
210000001253,955
210000001255,110
210000001256,63
210000001257,75
210000001258,41
210000001259,146
210000001260,70
210000001261,141
210000001262,151
210000001263,65
210000001264,52
210000001265,54
210000001266,84
210000001267,1209
210000001269,98
210000001270,175
210000001271,96
210000001272,205
210000001273,149
210000001274,181
210000001275,32
210000001276,59
210000001277,38
210000001278,147
210000001279,20
210000001280,22
210000001281,11705
210000001283,851
210000001284,181
210000001285,233
210000001286,148
210000001287,50
210000001288,0
210000001289,1192
210000001290,0
210000001291,470
210000001292,1125
210000001293,895
210000001294,0
210000001295,1009
210000001296,174
210000001297,197
210000001298,924
210000001299,826
210000001300,716
210000001301,4921
210000001302,896
210000001303,5434
210000001304,45
210000001306,1733
210000001308,14
210000001309,130
210000001310,70
210000001311,73
210000001312,43
210000001313,46
210000001314,124
210000001315,15
210000001316,14
210000001317,122
210000001318,24
210000001319,26
210000001320,21
210000001321,1507
210000001323,2295
210000001325,182
210000001326,52
210000001327,95
210000001328,289
210000001329,132
210000001330,141
210000001331,144
210000001332,402
210000001333,88
210000001334,362
210000001335,140
210000001336,166
210000001337,118
210000001338,122
210000001339,23
210000001340,179
210000001341,43
210000001342,13
210000001343,65
210000001344,160
210000001345,3
210000001346,55
210000001347,6097
210000001349,31
210000001350,58
210000001351,95
210000001352,188
210000001353,11
210000001354,41
210000001355,40
210000001356,63
210000001357,233
210000001358,71
210000001359,154
210000001360,164
210000001361,110
210000001362,61
210000001363,100
210000001364,34
210000001365,39
210000001366,98
210000001367,0
210000001368,0
210000001369,2452
210000001371,26
210000001372,35
210000001373,303
210000001374,149
210000001375,3
210000001376,245
210000001377,15
210000001378,38
210000001379,25
210000001380,63
210000001381,23
210000001382,28
210000001383,66
210000001384,19
210000001385,139
210000001386,44
210000001387,129
210000001388,85
210000001389,2032
210000001391,226
210000001392,8
210000001393,0
210000001394,276
210000001395,159
210000001396,261
210000001397,45
210000001398,135
210000001399,4
210000001400,76
210000001401,53
210000001402,175
210000001403,144
210000001404,153
210000001405,77
210000001406,97
210000001493,2274
210000001495,163
210000001496,228
210000001497,86
210000001498,166
210000001499,237
210000001500,355
210000001501,449
210000001502,205
210000001503,377
210000001504,133
210000001505,611
210000001507,77
210000001508,100
210000001509,97
210000001510,121
210000001511,95
210000001512,104
210000001521,2165
210000001523,216
210000001524,115
210000001525,93
210000001526,346
210000001527,55
210000001528,308
210000001529,162
210000001530,164
210000001531,204
210000001532,96
210000001533,22
210000001534,250
210000001535,25
210000001536,254
210000001537,23
210000001538,185
210000001539,32
210000001540,241
210000001541,2100
210000001543,195
210000001544,126
210000001545,74
210000001546,104
210000001547,0
210000001548,0
210000001549,34
210000001551,169
210000001552,143
210000001553,51
210000001554,100
210000001555,76
210000001556,127
210000001557,141
210000001558,127
210000001559,226
210000001583,909
210000001585,131
210000001586,115
210000001587,59
210000001588,168
210000001589,8
210000001590,22
210000001591,94
210000001592,59
210000001593,48
210000001594,90
210000001595,19
210000001753,1543
210000001755,24
210000001756,31
210000001757,166
210000001758,56
210000001759,11
210000001760,76
210000001761,6
210000001762,259
210000001763,13
210000001764,12
210000001765,133
210000001766,172
210000001767,40
210000001768,95
210000001769,33
210000001770,131
210000001771,262
210000001841,9878
210000001912,2540
210000001914,162
210000001915,59
210000001916,35
210000001917,160
210000001918,19
210000001920,171
210000001921,104
210000001922,12
210000001925,87
210000001926,15
210000001927,77
210000001928,76
210000001929,123
210000001930,77
210000001931,147
210000001932,63
210000001933,15
210000001934,100
210000001935,121
210000001936,51
210000001937,58
210000001938,172
210000001939,101
210000001940,152
210000001941,486
210000001942,3853
210000001944,453
210000001945,889
210000001946,127
210000001947,148
210000001948,2069
210000001950,896
210000001951,128
210000001952,143
210000001953,635
210000001954,174
210000001955,1429
210000001956,501
210000001957,1416
210000001958,764
210000001959,998
210000001960,682
210000001961,874
210000001962,2053
210000001963,176
210000001964,130
210000001965,432
210000002012,90
210000002013,251
210000002014,73
210000002015,16
210000002016,0
210000002017,95
210000002156,430
210000002157,451
210000002158,593
210000002159,72
210000002160,121
210000002161,256
210000002162,124
210000002163,390
210000002164,56
210000002165,37
210000002166,439
210000002167,202
210000002168,371
210000002169,957
210000002170,135
210000002171,446
210000002172,157
210000002173,422
210000002174,20
210000002175,450
210000002176,336
210000002177,298
210000002339,580
210000002340,334
210000002341,94
210000002342,57
210000002343,35
210000002344,178
210000002345,386
210000002346,114
210000002347,1296
210000002348,31
210000002349,255
210000002350,66
210000002351,17
210000002352,41
210000002353,143
210000002354,638
210000002355,115
210000002356,100
210000002357,89
210000002358,8
210000002359,151
210000002360,126
210000002362,1616
210000002364,120
210000002365,165
210000002366,17
210000002367,120
210000002368,29
210000002369,179
210000002370,80
210000002371,279
210000002372,250
210000002373,167
210000002374,55
210000002375,11
210000002376,136
210000002378,295
210000002379,473
210000002380,138
210000002381,67
210000002383,119
210000002384,39
210000002385,18
210000002386,485
210000002387,355
210000002388,64
210000002389,28
210000002390,26
210000002391,211
210000002392,524
210000002393,197
210000002394,1271
210000002395,305
210000002396,998
210000002398,150
210000002399,1
210000002400,1
210000002401,97
210000002402,89
210000002403,150
210000002404,86
210000002405,96
210000002406,124
210000002407,60
210000002408,153
210000002409,49
210000002410,93
210000002411,70
210000002412,62
210000002515,116
210000002517,76
210000002518,19
210000002519,40
210000002520,206
210000002521,59
210000002522,87
210000002523,179
210000002524,105
210000002525,74
210000002526,2
210000002527,6
210000002528,128
210000002529,174
210000002530,59
210000002531,157
210000002532,189
210000002534,294
210000002535,82
210000002536,93
210000002537,288
210000002538,266
210000002539,0
210000002540,77
210000002541,259
210000002542,247
210000002543,120
210000002544,79
210000002545,120
210000002546,98
210000002548,26
210000002549,31
210000002550,163
210000002551,76
210000002552,79
210000002553,44
210000002568,49
210000002569,99
210000002570,146
210000002571,38
210000002572,69
210000002573,74
210000002574,45
210000002575,177
210000002576,63
210000002577,62
210000002578,77
210000002579,136
210000002580,110
210000002703,1205
210000002705,124
210000002706,108
210000002707,192
210000002708,7
210000002709,37
210000002710,10
210000002711,56
210000002712,43
210000002713,118
210000002714,4
210000002715,61
210000002716,11
210000002717,91
210000002718,0
210000002719,89
210000002720,63
210000002721,136
210000002786,1959
210000002788,16045
210000002790,186
210000002791,829
210000002792,857
210000002793,127
210000002794,96
210000002795,1764
210000002796,763
210000002797,1205
210000002798,106
210000002799,1318
210000002800,111
210000002801,893
210000002802,745
210000002803,169
210000002804,1271
210000002805,290
210000002806,234
210000002807,118
210000002808,126
210000002810,487
210000002811,134
210000002812,2959
210000002814,54
210000002815,161
210000002816,59
210000002817,27
210000002818,181
210000002819,347
210000002821,26
210000002822,17
210000002823,34
210000002824,13
210000002825,57
210000002826,7
210000002827,58
210000002828,21
210000002829,33
210000002830,128
210000002831,32
210000002832,7
210000002833,851
210000002887,89
210000002888,527
210000002889,141
210000002890,103
210000002892,47
210000002893,56
210000002894,72
210000002895,210
210000002896,94
210000002897,74
210000002898,303
210000002899,75
210000002900,18
210000002901,246
210000002902,90
210000002903,34
210000002904,107
210000002905,94
210000002906,125
210000002907,199
210000002908,183
210000002909,34
210000002910,0
210000002911,18
210000002913,316
210000002914,115
210000002916,98
210000002917,62
210000002918,975
210000002920,83
210000002921,87
210000002922,13
210000002923,83
210000002924,61
210000002925,64
210000002926,82
210000002927,42
210000002928,120
210000002947,5279
210000002949,115
210000002950,14
210000002951,132
210000002952,6
210000002953,2
210000002954,162
210000002955,108
210000002956,13
210000002957,851
210000002959,135
210000002960,154
210000002961,91
210000002962,74
210000002963,65
210000002964,120
210000002965,56
210000002966,23
210000002967,37
210000002968,249
210000002969,10
210000002971,58
210000002972,44
210000002973,76
210000002974,194
210000002975,235
210000002976,215
210000002978,128
210000002979,47
210000002980,83
210000002999,1391
210000003001,114
210000003002,64
210000003003,161
210000003004,204
210000003005,0
210000003006,165
210000003007,209
210000003008,134
210000003009,136
210000003010,130
210000003012,1
210000003013,120
210000003014,151
210000003015,50
210000003016,12
210000003017,94
210000003018,190
210000003043,763
210000003045,8
210000003046,27
210000003047,25
210000003048,73
210000003049,23
210000003050,9
210000003051,35
210000003052,37
210000003053,18
210000003054,100
210000003055,11
210000003056,82
210000003057,81
210000003058,71
210000003059,85
210000003060,69
210000003074,324
210000003075,26
210000003076,1
210000003077,247
210000003078,216
210000003079,4
210000003080,66
210000003081,206
210000003082,211
210000003083,36
210000003084,8
210000003085,341
210000003086,140
210000003087,35
210000003088,494
210000003089,14
210000003090,206
210000003091,202
210000003092,534
210000003093,23
210000003094,76
210000003095,0
210000003107,28
210000003108,91
210000003109,8
210000003110,7
210000003111,58
210000003112,13
210000003113,106
210000003114,25
210000003115,9
210000003116,90
210000003117,623
210000003119,20
210000003120,62
210000003121,48
210000003122,58
210000003123,56
210000003124,96
210000003125,35
210000003126,83
210000003127,76
210000003128,22
210000003129,144
210000003130,32
210000003131,47
210000003132,34
210000003151,878
210000003153,47
210000003154,73
210000003155,124
210000003156,59
210000003157,112
210000003158,102
210000003159,21
210000003160,99
210000003161,22
210000003162,22
210000003163,117
210000003164,59
210000003165,92
210000003197,7104
210000003199,784
210000003201,87
210000003202,105
210000003203,76
210000003204,20
210000003205,50
210000003206,69
210000003207,134
210000003208,3
210000003209,68
210000003362,76
210000003363,249
210000003364,179
210000003365,32
210000003366,222
210000003367,31
210000003368,86
210000003369,102
210000003370,83
210000003371,102
210000003372,9
210000003373,170
210000003374,16
210000003375,61
210000003376,168
210000003377,229
210000003378,18
210000003379,219
210000003380,1728
210000003382,205
210000003383,69
210000003384,253
210000003385,187
210000003386,165
210000003387,28
210000003388,47
210000003389,32
210000003390,118
210000003391,15
210000003392,178
210000003393,143
210000003394,193
210000003395,95
210000003434,1293
210000003436,86
210000003437,56
210000003438,17
210000003439,43
210000003440,10
210000003441,159
210000003442,280
210000003443,316
210000003444,65
210000003445,1
210000003446,106
210000003447,72
210000003448,348
210000003449,260
210000003450,102
210000003451,373
210000003452,69
210000003453,98
210000003454,78
210000003455,630
210000003456,572
210000003457,21
210000003458,166
210000003459,39
210000003460,528
210000003461,239
210000003462,78
210000003463,212
210000003464,81
210000003465,28
210000003466,3785
210000003468,341
210000003469,84
210000003470,520
210000003471,22
210000003472,168
210000003473,48
210000003474,235
210000003475,92
210000003476,362
210000003477,80
210000003478,44
210000003479,319
210000003480,185
210000003481,147
210000003482,220
210000003483,312
210000003484,26
210000003485,67
210000003562,216
210000003563,262
210000003564,372
210000003565,189
210000003566,60
210000003567,420
210000003568,50
210000003569,379
210000003570,567
210000003571,382
210000003572,54
210000003633,1160
210000003635,146
210000003636,69
210000003637,49
210000003638,36
210000003639,51
210000003640,1
210000003641,68
210000003642,85
210000003643,115
210000003644,84
210000003645,7
210000003646,99
210000003647,73
210000003648,64
210000003649,110
210000003650,1770
210000003652,103
210000003653,4
210000003654,110
210000003655,338
210000003656,67
210000003657,158
210000003658,43
210000003659,175
210000003660,220
210000003661,85
210000003662,158
210000003663,63
210000003664,106
210000003665,164
210000003666,149
210000003667,107
210000003668,27
210000003669,17
210000003670,123
210000003671,35
210000003672,43
210000003673,146
210000003674,48
210000003675,1256
210000003678,9
210000003679,113
210000003680,2
210000003681,36
210000003682,2
210000003683,202
210000003684,128
210000003685,112
210000003686,176
210000003687,28
210000003688,6
210000003689,107
210000003690,176
210000003691,89
210000003725,740
210000003727,80
210000003728,5
210000003729,103
210000003730,69
210000003731,99
210000003732,90
210000003733,1
210000003734,98
210000003735,1523
210000003737,3
210000003738,0
210000003739,258
210000003740,142
210000003741,153
210000003742,156
210000003743,60
210000003744,52
210000003745,156
210000003746,144
210000003747,82
210000003748,118
210000003749,172
