SQ_CANDIDATO,QT_VOTOS_NOMINAIS,DS_SIT_TOT_TURNO
210000001511,66,SUPLENTE
210000001512,37,SUPLENTE
210000001513,38,SUPLENTE
210000001514,30,SUPLENTE
210000001515,167,ELEITO POR QP
210000001516,12,SUPLENTE
210000001517,36,SUPLENTE
210000001518,11,SUPLENTE
210000001519,117,SUPLENTE
210000001521,83,SUPLENTE
210000001522,118,ELEITO POR QP
210000001523,47,SUPLENTE
210000001524,130,ELEITO POR QP
210000001525,1488,ELEITO
210000001526,62,SUPLENTE
210000001528,97,SUPLENTE
210000001529,32,SUPLENTE
210000001530,9,SUPLENTE
210000001531,138,ELEITO POR QP
210000001532,118,ELEITO POR MÉDIA
210000001533,28,SUPLENTE
210000001534,36,SUPLENTE
210000001535,38,SUPLENTE
210000001536,74,SUPLENTE
210000001537,57,SUPLENTE
210000001538,11,SUPLENTE
210000001539,30,SUPLENTE
210000001540,177,SUPLENTE
210000001541,210,ELEITO POR QP
210000001542,58,SUPLENTE
210000001544,30,SUPLENTE
210000001545,31,SUPLENTE
210000001547,7,SUPLENTE
210000001548,6,SUPLENTE
210000001549,59,SUPLENTE
210000001550,130,SUPLENTE
210000001551,5,SUPLENTE
210000001552,10,SUPLENTE
210000001553,7,SUPLENTE
210000001554,21,SUPLENTE
210000001555,126,SUPLENTE
210000001556,10,NÃO ELEITO
210000001557,6,NÃO ELEITO
210000001558,8,NÃO ELEITO
210000001559,5,NÃO ELEITO
210000001560,3,NÃO ELEITO
210000001561,2,NÃO ELEITO
210000001562,0,NÃO ELEITO
210000001563,8,NÃO ELEITO
210000001564,6,NÃO ELEITO
210000001566,15,NÃO ELEITO
210000001567,2,NÃO ELEITO
210000001568,17,NÃO ELEITO
210000001569,47,NÃO ELEITO
210000001570,2582,NÃO ELEITO
210000001572,70,SUPLENTE
210000001573,175,SUPLENTE
210000001574,119,SUPLENTE
210000001575,159,SUPLENTE
210000001576,31,SUPLENTE
210000001577,94,SUPLENTE
210000001578,121,SUPLENTE
210000001579,24,SUPLENTE
210000001580,181,SUPLENTE
210000001581,267,ELEITO POR QP
210000001583,226,ELEITO POR MÉDIA
210000001584,83,SUPLENTE
210000001585,255,ELEITO POR QP
210000001586,78,SUPLENTE
210000001587,21,SUPLENTE
210000001588,63,SUPLENTE
210000001589,339,ELEITO POR QP
210000001590,384,SUPLENTE
210000001591,499,ELEITO POR MÉDIA
210000001592,16,SUPLENTE
210000001593,296,SUPLENTE
210000001594,524,ELEITO POR QP
210000001595,183,SUPLENTE
210000001596,85,SUPLENTE
210000001597,12,SUPLENTE
210000001598,63,SUPLENTE
210000001599,31,SUPLENTE
210000001600,90,SUPLENTE
210000001601,37,SUPLENTE
210000001602,209,SUPLENTE
210000001603,65,SUPLENTE
210000001604,32,SUPLENTE
210000001605,496,SUPLENTE
210000001606,193,SUPLENTE
210000001607,105,SUPLENTE
210000001608,258,SUPLENTE
210000001609,193,SUPLENTE
210000001610,18,SUPLENTE
210000001611,3591,ELEITO
210000001612,284,ELEITO POR QP
210000001613,52,SUPLENTE
210000001614,151,SUPLENTE
210000001615,85,SUPLENTE
210000001616,45,SUPLENTE
210000001617,68,SUPLENTE
210000001618,153,SUPLENTE
210000001619,305,ELEITO POR QP
210000001620,37,SUPLENTE
210000001621,84,SUPLENTE
210000001622,15,SUPLENTE
210000001624,270,SUPLENTE
210000001625,988,ELEITO POR QP
210000001626,271,SUPLENTE
210000001627,179,SUPLENTE
210000001628,239,SUPLENTE
210000001629,113,SUPLENTE
210000001630,347,SUPLENTE
210000001631,888,ELEITO POR QP
210000001632,205,SUPLENTE
210000001633,263,SUPLENTE
210000001634,322,SUPLENTE
210000001635,800,ELEITO POR QP
210000001636,519,SUPLENTE
210000001637,243,SUPLENTE
210000001638,417,SUPLENTE
210000001639,35,SUPLENTE
210000001640,589,SUPLENTE
210000001641,627,ELEITO POR MÉDIA
210000001644,43,SUPLENTE
210000001646,459,ELEITO POR QP
210000001647,182,SUPLENTE
210000001648,173,SUPLENTE
210000001649,15,SUPLENTE
210000001651,230,SUPLENTE
210000001652,61,SUPLENTE
210000001653,367,ELEITO POR QP
210000001654,209,SUPLENTE
210000001655,197,SUPLENTE
210000001656,255,ELEITO POR QP
210000001657,132,SUPLENTE
210000001658,118,SUPLENTE
210000001659,197,SUPLENTE
210000001660,43,SUPLENTE
210000001661,123,SUPLENTE
210000001662,7638,ELEITO
210000001664,97,SUPLENTE
210000001665,83,SUPLENTE
210000001666,100,SUPLENTE
210000001667,131,SUPLENTE
210000001668,759,ELEITO POR QP
210000001669,70,SUPLENTE
210000001670,41,SUPLENTE
210000001672,362,SUPLENTE
210000001673,1028,ELEITO POR QP
210000001674,299,SUPLENTE
210000001675,640,SUPLENTE
210000001676,1193,ELEITO POR QP
210000001677,414,SUPLENTE
210000001678,574,SUPLENTE
210000001679,67,SUPLENTE
210000001680,378,SUPLENTE
210000001681,305,SUPLENTE
210000001682,127,SUPLENTE
210000001683,422,SUPLENTE
210000001684,121,SUPLENTE
210000001686,101,SUPLENTE
210000001687,679,SUPLENTE
210000001688,21,SUPLENTE
210000001689,123,SUPLENTE
210000001690,52,SUPLENTE
210000001691,19,SUPLENTE
210000001692,131,SUPLENTE
210000001693,78,SUPLENTE
210000001694,130,SUPLENTE
210000001695,207,SUPLENTE
210000001696,155,SUPLENTE
210000001697,1777,ELEITO POR QP
210000001698,134,SUPLENTE
210000001699,377,SUPLENTE
210000001700,52,SUPLENTE
210000001701,50,SUPLENTE
210000001702,168,SUPLENTE
210000001703,256,SUPLENTE
210000001704,51,SUPLENTE
210000001705,208,SUPLENTE
210000001706,382,SUPLENTE
210000001707,65,SUPLENTE
210000001708,312,SUPLENTE
210000001709,791,ELEITO POR QP
210000001710,775,ELEITO POR MÉDIA
210000001711,152,SUPLENTE
210000001712,331,SUPLENTE
210000001713,207,SUPLENTE
210000001714,580,SUPLENTE
210000001717,239,SUPLENTE
210000001718,61,SUPLENTE
210000001719,349,SUPLENTE
210000001720,70,SUPLENTE
210000001721,25,SUPLENTE
210000001722,38,SUPLENTE
210000001723,62,SUPLENTE
210000001724,43,SUPLENTE
210000001725,87,SUPLENTE
210000001726,400,SUPLENTE
210000001727,60,SUPLENTE
210000001728,35,SUPLENTE
210000001729,15,SUPLENTE
210000001730,1704,ELEITO POR QP
210000001731,28,SUPLENTE
210000001732,308,SUPLENTE
210000001733,76,SUPLENTE
210000001734,504,SUPLENTE
210000001735,332,SUPLENTE
210000001736,858,ELEITO POR QP
210000001737,104,SUPLENTE
210000001738,214,SUPLENTE
210000001739,11,SUPLENTE
210000001740,109,SUPLENTE
210000001741,54,SUPLENTE
210000001742,2,SUPLENTE
210000001743,0,SUPLENTE
210000001744,169,SUPLENTE
210000001745,235,SUPLENTE
210000001746,38,SUPLENTE
210000001747,282,ELEITO POR QP
210000001748,125,SUPLENTE
210000001749,181,SUPLENTE
210000001750,436,ELEITO POR QP
210000001751,174,SUPLENTE
210000001752,43,SUPLENTE
210000001753,127,SUPLENTE
210000001754,177,SUPLENTE
210000001755,119,SUPLENTE
210000001756,27,SUPLENTE
210000001757,64,SUPLENTE
210000001774,6581,ELEITO
210000001778,149,SUPLENTE
210000001779,135,SUPLENTE
210000001780,206,SUPLENTE
210000001781,147,SUPLENTE
210000001782,270,SUPLENTE
210000001783,71,SUPLENTE
210000001784,469,SUPLENTE
210000001785,814,ELEITO POR QP
210000001786,73,SUPLENTE
210000001787,119,SUPLENTE
210000001788,116,SUPLENTE
210000001789,442,SUPLENTE
210000001790,205,SUPLENTE
210000001791,163,SUPLENTE
210000001792,349,SUPLENTE
210000001793,288,SUPLENTE
210000001794,180,SUPLENTE
210000001795,488,ELEITO POR MÉDIA
210000001796,8,SUPLENTE
210000001797,345,ELEITO POR QP
210000001798,21,SUPLENTE
210000001799,1,SUPLENTE
210000001800,31,SUPLENTE
210000001801,4,SUPLENTE
210000001802,83,ELEITO POR QP
210000001803,59,SUPLENTE
210000001804,6,SUPLENTE
210000001805,88,ELEITO POR QP
210000001806,64,SUPLENTE
210000001807,69,SUPLENTE
210000001808,106,ELEITO POR QP
210000001809,19,SUPLENTE
210000001810,1255,ELEITO
210000001811,120,ELEITO POR QP
210000001812,72,SUPLENTE
210000001814,122,ELEITO POR QP
210000001815,112,ELEITO POR QP
210000001816,52,SUPLENTE
210000001817,309,SUPLENTE
210000001818,84,SUPLENTE
210000001819,21,SUPLENTE
210000001820,36,SUPLENTE
210000001821,12,SUPLENTE
210000001822,454,ELEITO POR QP
210000001823,174,SUPLENTE
210000001824,38,SUPLENTE
210000001825,20,SUPLENTE
210000001826,25,SUPLENTE
210000001827,75,SUPLENTE
210000001828,0,SUPLENTE
210000001829,46,SUPLENTE
210000001830,77,SUPLENTE
210000001831,3,SUPLENTE
210000001832,28,SUPLENTE
210000001833,1964,ELEITO
210000001835,186,ELEITO POR MÉDIA
210000001836,192,ELEITO POR QP
210000001837,217,ELEITO POR QP
210000001838,5,SUPLENTE
210000001839,40,SUPLENTE
210000001840,97,SUPLENTE
210000001841,183,SUPLENTE
210000001842,68,SUPLENTE
210000001843,187,ELEITO POR QP
210000001844,126,SUPLENTE
210000001845,90,SUPLENTE
210000001846,209,ELEITO POR QP
210000001847,204,ELEITO POR QP
210000001848,145,SUPLENTE
210000001849,41,SUPLENTE
210000001850,869,ELEITO
210000001851,125,ELEITO POR QP
210000001852,150,ELEITO POR QP
210000001853,95,ELEITO POR QP
210000001854,47,SUPLENTE
210000001855,85,ELEITO POR QP
210000001856,50,ELEITO POR MÉDIA
210000001857,29,SUPLENTE
210000001859,97,ELEITO POR QP
210000001860,86,ELEITO POR QP
210000001861,82,ELEITO POR QP
210000001862,48,SUPLENTE
210000001863,65,ELEITO POR QP
210000001864,4293,ELEITO
210000001866,40,SUPLENTE
210000001867,93,SUPLENTE
210000001869,115,ELEITO POR QP
210000001870,38,SUPLENTE
210000001871,89,SUPLENTE
210000001872,17,SUPLENTE
210000001873,17,SUPLENTE
210000001874,26,SUPLENTE
210000001875,206,ELEITO POR QP
210000001876,10,SUPLENTE
210000001877,122,ELEITO POR QP
210000001878,27,SUPLENTE
210000001879,699,NÃO ELEITO
210000001880,40,SUPLENTE
210000001881,133,ELEITO POR QP
210000001882,132,ELEITO POR QP
210000001883,15,SUPLENTE
210000001884,14,SUPLENTE
210000001886,108,SUPLENTE
210000001887,92,SUPLENTE
210000001888,51,SUPLENTE
210000001889,18,SUPLENTE
210000001890,8,SUPLENTE
210000001891,1122,NÃO ELEITO
210000001892,8,SUPLENTE
210000001893,119,ELEITO POR QP
210000001894,60,SUPLENTE
210000001895,89,SUPLENTE
210000001896,79,SUPLENTE
210000001897,33,SUPLENTE
210000001898,9,SUPLENTE
210000001899,138,ELEITO POR QP
210000001900,1241,ELEITO
210000001902,158,ELEITO POR QP
210000001903,113,ELEITO POR QP
210000001904,132,ELEITO POR QP
210000001905,214,ELEITO POR QP
210000001906,85,ELEITO POR QP
210000001907,212,ELEITO POR QP
210000001908,101,ELEITO POR QP
210000001909,128,ELEITO POR QP
210000001910,114,ELEITO POR QP
210000001911,83,SUPLENTE
210000001927,130,NÃO ELEITO
210000001928,1,NÃO ELEITO
210000001929,129,NÃO ELEITO
210000001930,213,NÃO ELEITO
210000001931,800,NÃO ELEITO
210000001932,588,NÃO ELEITO
210000001933,77,NÃO ELEITO
210000001934,6,NÃO ELEITO
210000001935,80,NÃO ELEITO
210000001936,47,NÃO ELEITO
210000001937,41,NÃO ELEITO
210000001938,236,NÃO ELEITO
210000001939,1062,NÃO ELEITO
210000001941,4,NÃO ELEITO
210000001942,139,NÃO ELEITO
210000001943,271,NÃO ELEITO
210000001944,3,NÃO ELEITO
210000001945,2,NÃO ELEITO
210000001946,25,NÃO ELEITO
210000001947,279,NÃO ELEITO
210000001965,14977,ELEITO
210000001985,2434,ELEITO
210000001986,327,ELEITO POR QP
210000001987,219,SUPLENTE
210000001989,353,ELEITO POR QP
210000001990,308,ELEITO POR MÉDIA
210000001991,359,ELEITO POR QP
210000001992,320,ELEITO POR QP
210000001994,45,SUPLENTE
210000001995,69,SUPLENTE
210000001996,24,SUPLENTE
210000001997,171,SUPLENTE
210000001998,3462,ELEITO
210000002000,398,ELEITO POR QP
210000002001,215,ELEITO POR MÉDIA
210000002002,252,ELEITO POR MÉDIA
210000002003,147,SUPLENTE
210000002004,82,SUPLENTE
210000002005,384,ELEITO POR QP
210000002006,357,ELEITO POR QP
210000002007,204,ELEITO POR MÉDIA
210000002008,602,ELEITO POR QP
210000002009,132,SUPLENTE
210000002010,120,SUPLENTE
210000002011,349,ELEITO POR QP
210000002012,827,NÃO ELEITO
210000002014,45,SUPLENTE
210000002015,47,SUPLENTE
210000002016,85,SUPLENTE
210000002017,70,SUPLENTE
210000002018,87,ELEITO POR MÉDIA
210000002019,127,ELEITO POR QP
210000002020,53,SUPLENTE
210000002021,74,SUPLENTE
210000002022,128,ELEITO POR QP
210000002023,1,SUPLENTE
210000002024,0,SUPLENTE
210000002025,2,SUPLENTE
210000002026,144,ELEITO POR QP
210000002027,1085,ELEITO
210000002029,109,ELEITO POR QP
210000002030,60,SUPLENTE
210000002031,193,ELEITO POR QP
210000002032,241,ELEITO POR QP
210000002033,117,ELEITO POR QP
210000002034,121,ELEITO POR QP
210000002035,95,ELEITO POR QP
210000002036,72,SUPLENTE
210000002037,69,SUPLENTE
210000002038,88,ELEITO POR MÉDIA
210000002039,76,SUPLENTE
210000002040,94,ELEITO POR QP
210000002041,70,SUPLENTE
210000002042,113,ELEITO POR QP
210000002043,84,SUPLENTE
210000002044,374,SUPLENTE
210000002045,267,SUPLENTE
210000002046,436,SUPLENTE
210000002047,78,SUPLENTE
210000002048,813,ELEITO POR MÉDIA
210000002049,73,SUPLENTE
210000002050,660,SUPLENTE
210000002051,597,SUPLENTE
210000002052,565,SUPLENTE
210000002053,108,SUPLENTE
210000002054,301,SUPLENTE
210000002055,141,SUPLENTE
210000002056,293,SUPLENTE
210000002057,122,SUPLENTE
210000002058,218,SUPLENTE
210000002059,15,SUPLENTE
210000002060,15,SUPLENTE
210000002061,191,SUPLENTE
210000002062,139,SUPLENTE
210000002063,264,SUPLENTE
210000002064,65,SUPLENTE
210000002065,76,SUPLENTE
210000002066,194,SUPLENTE
210000002067,38,SUPLENTE
210000002068,92,SUPLENTE
210000002069,33,SUPLENTE
210000002070,126,SUPLENTE
210000002071,1,SUPLENTE
210000002072,85,SUPLENTE
210000002073,172,SUPLENTE
210000002074,2430,ELEITO POR QP
210000002075,20,SUPLENTE
210000002076,4106,NÃO ELEITO
210000002078,55,SUPLENTE
210000002079,52,SUPLENTE
210000002080,123,ELEITO POR QP
210000002081,42,SUPLENTE
210000002082,46,SUPLENTE
210000002083,16,SUPLENTE
210000002084,20,SUPLENTE
210000002085,8,SUPLENTE
210000002086,111,ELEITO POR QP
210000002087,61,SUPLENTE
210000002088,55,SUPLENTE
210000002089,163,ELEITO POR QP
210000002090,12,SUPLENTE
210000002091,943,NÃO ELEITO
210000002092,124,ELEITO POR QP
210000002094,22,SUPLENTE
210000002095,352,NÃO ELEITO
210000002097,162,ELEITO POR QP
210000002098,110,ELEITO POR QP
210000002099,16,SUPLENTE
210000002100,88,SUPLENTE
210000002101,101,ELEITO POR MÉDIA
210000002102,3,SUPLENTE
210000002103,23,SUPLENTE
210000002104,74,SUPLENTE
210000002105,12,SUPLENTE
210000002106,21,SUPLENTE
210000002107,227,SUPLENTE
210000002108,332,ELEITO POR QP
210000002109,161,SUPLENTE
210000002110,176,SUPLENTE
210000002111,115,SUPLENTE
210000002112,155,SUPLENTE
210000002114,12,SUPLENTE
210000002115,60,SUPLENTE
210000002116,44,SUPLENTE
210000002117,68,SUPLENTE
210000002118,29,SUPLENTE
210000002119,269,SUPLENTE
210000002120,18,SUPLENTE
210000002121,126,SUPLENTE
210000002122,488,ELEITO POR QP
210000002123,283,ELEITO POR MÉDIA
210000002124,193,SUPLENTE
210000002125,4,SUPLENTE
210000002126,234,SUPLENTE
210000002127,224,SUPLENTE
210000002128,19,SUPLENTE
210000002129,139,ELEITO POR QP
210000002130,182,ELEITO POR QP
210000002131,189,ELEITO POR QP
210000002132,185,ELEITO POR QP
210000002133,138,ELEITO POR QP
210000002134,184,ELEITO POR QP
210000002136,162,ELEITO POR QP
210000002137,143,ELEITO POR QP
210000002138,115,SUPLENTE
210000002139,1258,ELEITO
210000002140,182,ELEITO POR QP
210000002141,12,SUPLENTE
210000002142,91,SUPLENTE
210000002143,48,SUPLENTE
210000002144,26,SUPLENTE
210000002145,57,SUPLENTE
210000002146,23,SUPLENTE
210000002147,76,SUPLENTE
210000002148,5,SUPLENTE
210000002149,171,SUPLENTE
210000002150,356,ELEITO POR QP
210000002151,313,ELEITO POR MÉDIA
210000002152,58,SUPLENTE
210000002153,93,SUPLENTE
210000002154,33,SUPLENTE
210000002155,23,SUPLENTE
210000002156,120,SUPLENTE
210000002157,180,SUPLENTE
210000002158,12,SUPLENTE
210000002159,299,SUPLENTE
210000002160,14,SUPLENTE
210000002161,25,SUPLENTE
210000002162,35,SUPLENTE
210000002163,76,SUPLENTE
210000002164,1910,ELEITO
210000002165,199,ELEITO POR QP
210000002166,243,ELEITO POR QP
210000002167,96,SUPLENTE
210000002168,202,ELEITO POR QP
210000002169,72,SUPLENTE
210000002170,181,ELEITO POR MÉDIA
210000002171,60,SUPLENTE
210000002172,43,SUPLENTE
210000002173,109,SUPLENTE
210000002174,220,ELEITO POR QP
210000002175,85,SUPLENTE
210000002176,76,SUPLENTE
210000002178,159,SUPLENTE
210000002179,193,ELEITO POR QP
210000002180,1793,NÃO ELEITO
210000002182,64,SUPLENTE
210000002183,34,SUPLENTE
210000002184,157,SUPLENTE
210000002185,43,SUPLENTE
210000002186,203,ELEITO POR MÉDIA
210000002187,26,SUPLENTE
210000002188,22,SUPLENTE
210000002189,202,SUPLENTE
210000002190,119,SUPLENTE
210000002191,171,SUPLENTE
210000002192,86,SUPLENTE
210000002193,147,SUPLENTE
210000002194,28,SUPLENTE
210000002195,94,SUPLENTE
210000002196,442,ELEITO POR QP
210000002197,58,SUPLENTE
210000002198,116,SUPLENTE
210000002199,70,SUPLENTE
210000002200,16,SUPLENTE
210000002201,72,SUPLENTE
210000002202,14,SUPLENTE
210000002203,122,SUPLENTE
210000002223,374,ELEITO POR QP
210000002224,343,ELEITO POR MÉDIA
210000002225,284,SUPLENTE
210000002226,251,SUPLENTE
210000002227,52,SUPLENTE
210000002228,27,SUPLENTE
210000002229,60,SUPLENTE
210000002231,161,SUPLENTE
210000002232,57,SUPLENTE
210000002233,218,SUPLENTE
210000002234,38,SUPLENTE
210000002235,25,SUPLENTE
210000002236,31,SUPLENTE
210000002237,76,SUPLENTE
210000002238,75,SUPLENTE
210000002239,31,SUPLENTE
210000002240,223,SUPLENTE
210000002241,67,SUPLENTE
210000002242,18,SUPLENTE
210000002243,20,SUPLENTE
210000002244,3,SUPLENTE
210000002245,1075,ELEITO POR QP
210000002247,437,SUPLENTE
210000002248,1506,ELEITO POR QP
210000002249,531,SUPLENTE
210000002250,252,SUPLENTE
210000002251,854,SUPLENTE
210000002252,403,SUPLENTE
210000002253,204,SUPLENTE
210000002254,539,SUPLENTE
210000002255,261,SUPLENTE
210000002256,15,SUPLENTE
210000002257,859,SUPLENTE
210000002258,114,SUPLENTE
210000002259,61,SUPLENTE
210000002260,1273,ELEITO POR QP
210000002261,91,SUPLENTE
210000002262,179,SUPLENTE
210000002263,13,SUPLENTE
210000002264,52,SUPLENTE
210000002265,83,SUPLENTE
210000002266,16,SUPLENTE
210000002267,46,SUPLENTE
210000002268,31,SUPLENTE
210000002269,71,SUPLENTE
210000002270,125,ELEITO POR QP
210000002271,37,SUPLENTE
210000002272,89,ELEITO POR QP
210000002273,16,SUPLENTE
210000002274,104,ELEITO POR QP
210000002275,12,SUPLENTE
210000002276,19,SUPLENTE
210000002277,153,ELEITO POR QP
210000002278,112,ELEITO POR QP
210000002279,71,SUPLENTE
210000002280,28,SUPLENTE
210000002281,29,SUPLENTE
210000002283,911,NÃO ELEITO
210000002284,1850,ELEITO POR MÉDIA
210000002285,699,SUPLENTE
210000002286,99,SUPLENTE
210000002287,345,SUPLENTE
210000002288,1276,SUPLENTE
210000002289,1998,ELEITO POR QP
210000002290,433,SUPLENTE
210000002291,208,SUPLENTE
210000002292,512,SUPLENTE
210000002293,414,SUPLENTE
210000002294,400,SUPLENTE
210000002295,363,SUPLENTE
210000002296,524,SUPLENTE
210000002297,13,SUPLENTE
210000002298,1700,SUPLENTE
210000002299,794,SUPLENTE
210000002300,1209,SUPLENTE
210000002301,1223,SUPLENTE
210000002302,1208,SUPLENTE
210000002303,598,SUPLENTE
210000002304,304,SUPLENTE
210000002305,449,SUPLENTE
210000002306,1080,SUPLENTE
210000002307,139,SUPLENTE
210000002308,96,SUPLENTE
210000002309,2718,ELEITO POR QP
210000002310,434,SUPLENTE
210000002311,1679,SUPLENTE
210000002312,201,SUPLENTE
210000002314,345,SUPLENTE
210000002315,213,SUPLENTE
210000002316,151,SUPLENTE
210000002317,141,SUPLENTE
210000002318,314,SUPLENTE
210000002319,1177,NÃO ELEITO
210000002321,171,ELEITO POR QP
210000002322,136,ELEITO POR QP
210000002323,139,ELEITO POR QP
210000002324,133,ELEITO POR QP
210000002325,132,SUPLENTE
210000002326,17,SUPLENTE
210000002327,14,SUPLENTE
210000002328,67,SUPLENTE
210000002329,40,SUPLENTE
210000002330,70,SUPLENTE
210000002331,44,SUPLENTE
210000002332,96,SUPLENTE
210000002333,23,SUPLENTE
210000002334,898,NÃO ELEITO
210000002336,132,ELEITO POR QP
210000002337,214,ELEITO POR QP
210000002339,60,SUPLENTE
210000002340,30,SUPLENTE
210000002341,139,ELEITO POR QP
210000002342,106,SUPLENTE
210000002343,10,SUPLENTE
210000002344,61,SUPLENTE
210000002345,27,SUPLENTE
210000002346,20,SUPLENTE
210000002347,150,ELEITO POR QP
210000002349,62,SUPLENTE
210000002350,17,SUPLENTE
210000002351,4586,ELEITO
210000002353,44,SUPLENTE
210000002354,224,ELEITO POR QP
210000002355,81,SUPLENTE
210000002356,138,SUPLENTE
210000002357,172,SUPLENTE
210000002358,73,SUPLENTE
210000002359,67,SUPLENTE
210000002360,291,ELEITO POR QP
210000002361,198,ELEITO POR MÉDIA
210000002362,84,SUPLENTE
