ANO_ELEICAO,SQ_CANDIDATO,NM_CANDIDATO,DS_CARGO,DS_GENERO,DS_COR_RACA,DS_GRAU_INSTRUCAO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,PERC_VOTOS
2012,210000010956,LEILA KATHIA CASTRO CONCEIÇÃO,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,57,"0,00"
2012,210000000994,IDENIR JOAO CECCHIM,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,ELEITO,7556,"0,52"
2012,210000010653,VERA LUCIA DE SOUZA,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,168,"0,01"
2012,210000033015,MARISE DE OLIVEIRA GOMES,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR INCOMPLETO,NÃO ELEITO,242,"0,02"
2012,210000000996,JACQUES GERCHMAN,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,146,"0,01"
2012,210000010965,MARIA ANGELA PELLIN DE MOLNAR,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,253,"0,02"
2012,210000033001,JOSIANE FRANÇA SANTOS,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,NÃO ELEITO,201,"0,01"
2012,210000010923,BELINA REGINA ROSA JORDÃO,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,SUPLENTE,94,"0,01"
2012,210000000375,DANIEL PEREIRA BITTENCOURT,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,SUPLENTE,143,"0,01"
2012,210000000990,ELIANA MACHADO DE OLIVEIRA,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,SUPLENTE,141,"0,01"
2012,210000017182,MARIO ANTONIO MANFRO,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,ELEITO,3732,"0,26"
2012,210000031483,NUBEM AIRTON CABRAL MEDEIROS,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,NÃO ELEITO,498,"0,03"
2012,210000017196,RAMIRO STALLBAUM ROSARIO,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,1652,"0,11"
2012,210000000479,SIMONE DA CUNHA PEIXOTO,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,411,"0,03"
2012,210000010642,PEDRO DORNELES VIEIRA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,SUPLENTE,458,"0,03"
2012,210000035912,LAILA MARIA SOUZA DE ARAUJO,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,24,"0,00"
2012,210000000399,MURILO PARRINO AMATNEEKS,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,2259,"0,16"
2012,210000010954,JOÃO PAULO DE ANDRADE CUNHA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,1407,"0,10"
2012,210000000324,JUSSARA ROSA CONY,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,ELEITO,5686,"0,39"
2012,210000000396,MARIA CELESTE DE SOUZA DA SILVA,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,4705,"0,32"
2012,210000000372,CELSO WOYCIECHOWSKI,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,2138,"0,15"
2012,210000000314,GRACILIANO RODRIGUES,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,63,"0,00"
2012,210000010942,GUILHERME SOCIAS VILLELA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,ELEITO,13574,"0,93"
2012,210000035052,KELLY GONÇALVES CORREA,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,2,"0,00"
2012,210000017197,REJANE RITA KAISER,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,106,"0,01"
2012,210000017178,LUIZ OTÁVIO ANDRADE VAZ SAMPAIO,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,39,"0,00"
2012,210000017189,PAULO ADIR FERREIRA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,99,"0,01"
2012,210000018662,ELISABETE PEREIRA LOPES,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,23,"0,00"
2012,210000010620,JUAREZ FRAGA CORREA DA COSTA JÚNIOR,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,1026,"0,07"
2012,210000010979,ROQUE RAUBER,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,583,"0,04"
2012,210000000434,ANDRÉ GILBERTO PEREIRA GONÇALVES,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,326,"0,02"
2012,210000000452,JAIRTON FERREIRA PRATES,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,577,"0,04"
2012,210000030440,REGINALDO DA LUZ PUJOL,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,ELEITO,4165,"0,29"
2012,210000000382,JAIR BUENO,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,221,"0,02"
2012,210000000402,PEDRO LEONARDO DA LUZ LOSS,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,1619,"0,11"
2012,210000010980,SANDERLEY DOS SANTOS ALMEIDA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,SUPLENTE,147,"0,01"
2012,210000000999,JOÃO ANTÔNIO PANCINHA COSTA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,1789,"0,12"
2012,210000010953,JOÃO BOSCO GRANATO VAZ,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,ELEITO,9493,"0,65"
2012,210000000296,ANDREA MILANI,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,314,"0,02"
2012,210000017181,MARIA DE LOURDES FERNANDES CAUDURO,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,46,"0,00"
2012,210000000381,JACQUELINE TEREZINHA URROZ SANCHOTENE,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,465,"0,03"
2012,210000028701,IVANIO BERNARDON,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,311,"0,02"
2012,210000010968,MARIA RITA CHANG,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,728,"0,05"
2012,210000000310,EDUARDO CLOIR DA SILVA,VEREADOR,MASCULINO,NÃO INFORMADO,LÊ E ESCREVE,SUPLENTE,319,"0,02"
2012,210000000344,RAMIRO SANTANA MORENO LOPEZ,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,1048,"0,07"
2012,210000010649,SÉRGIO ROBERTO SOARES NEGLIA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,1419,"0,10"
2012,210000032993,FERNANDO MAZZOLA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,NÃO ELEITO,49,"0,00"
2012,210000032980,ALEXANDER TEIXEIRA EBERHARDT,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,NÃO ELEITO,1358,"0,09"
2012,210000033006,LIZIANE PERES BERNARDES,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,NÃO ELEITO,308,"0,02"
2012,210000000988,DELVIA MARIA MORALES DA ROCHA PEREIRA,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,85,"0,01"
2012,210000017153,ADAIR CORREIA VARGAS,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,45,"0,00"
2012,210000010632,NEI BICA JUNQUEIRA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,436,"0,03"
2012,210000000980,ANA MARIA INÊS LEHN,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,79,"0,01"
2012,210000000405,THAÍS MARIA FERREIRA SAMPAIO,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,932,"0,06"
2012,210000010643,PEDRO LIBONATTI MARCHIORI,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,436,"0,03"
2012,210000028837,RUBIA ELEN ESMERIS,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,420,"0,03"
2012,210000029973,JOCELIN AZAMBUJA,PREFEITO,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,NÃO ELEITO,4412,"0,30"
2012,210000018656,ARQUIMEDES MORAES DOS SANTOS,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,54,"0,00"
2012,210000017169,JARI BELLAVER MONTEIRO,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,148,"0,01"
2012,210000010602,CARLOS ROBERTO DE OLIVEIRA PECH,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,1315,"0,09"
2012,210000010958,LISE FONTES RIES,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,74,"0,01"
2012,210000017198,ROBERTO FERRAZ SABINO,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,SUPLENTE,77,"0,01"
2012,210000000317,JEFERSON HENRIQUE AGUIAR PEREIRA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,852,"0,06"
2012,210000000991,ELIAS INCHAUSTE PIRES,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,SUPLENTE,245,"0,02"
2012,210000000335,MARISTELA MAFFEI,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,1833,"0,13"
2012,210000010637,PAULO CESAR TONELLO,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,44,"0,00"
2012,210000000457,LAERCIO THADEU PEREIRA DA SILVA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,508,"0,03"
2012,210000000983,ANTONIO AUGUSTO DA SILVA FAGUNDES,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,1164,"0,08"
2012,210000000403,SOFIA CAVEDON NUNES,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,ELEITO,7085,"0,49"
2012,210000000981,ANA VOLUZIA RAMOS DE CARVALHO,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,SUPLENTE,231,"0,02"
2012,210000010612,GLADIS DE SOUZA COUTO,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,266,"0,02"
2012,210000000987,CRISTINA VIEIRA DOS REIS,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,218,"0,01"
2012,210000000376,DIÓGENES BERTHES DA SILVA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,297,"0,02"
2012,210000010633,NORMA GONÇALVES CADAVAL,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,153,"0,01"
2012,210000001024,RAUL TORELLY FRAGA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,3269,"0,22"
2012,210000000436,ANTONIO CARLOS ROSS DE ABREU,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,SUPLENTE,591,"0,04"
2012,210000000445,ELIZANDRO SILVA DE FREITAS SABINO,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,ELEITO,6741,"0,46"
2012,210000001019,PARAGUASSÚ CAMARGO GONÇALVES,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,422,"0,03"
2012,210000010641,PAULO SÉRGIO DOS SANTOS,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,120,"0,01"
2012,210000001025,ROSEMARIE STEIN,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,43,"0,00"
2012,210000010924,BÁRBARA REGINA SANTOS DOS SANTOS,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,85,"0,01"
2012,210000010604,COPINARÉ ACOSTA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,843,"0,06"
2012,210000010618,JOSÉ NATIVIDADE COLMÃO MARTINS,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,82,"0,01"
2012,210000029636,OSAMU ALBERTO HIRAIWA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,SUPLENTE,276,"0,02"
2012,210000010623,LURDES AGATA GUICONI,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,SUPLENTE,2632,"0,18"
2012,210000033009,LUIZ ALBERTO NEGRINHO DE OLIVEIRA JÚNIOR,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,NÃO ELEITO,209,"0,01"
2012,210000030238,ELZA TEREZINHA DALLA LANA,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,82,"0,01"
2012,210000000290,ADALBERTO CÉSAR PEREIRA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,234,"0,02"
2012,210000000404,SONIA SARAÍ DE LIMA SOARES,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,1598,"0,11"
2012,210000001013,OSMAR ANTONIO GOI,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,881,"0,06"
2012,210000029611,NILZA TEREZINHA SIQUEIRA,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,72,"0,00"
2012,210000000312,FERNANDO DORNELES MAGADAN,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,171,"0,01"
2012,210000001008,MARILIA ALVES FIDELL,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,SUPLENTE,2267,"0,16"
2012,210000001006,MARIA DE LOURDES DOS SANTOS SPRENGER,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,ELEITO,4402,"0,30"
2012,210000010972,MÁRCIO FERREIRA BINS ELY,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,ELEITO,13336,"0,92"
2012,210000010593,ADELINA DE FÁTIMA LEMOS DE FREITAS,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,107,"0,01"
2012,210000032987,CARLOS VIENEL,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,NÃO ELEITO,255,"0,02"
2012,210000029618,JADELAINE FEIJÓ DA SILVA,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,SUPLENTE,1,"0,00"
2012,210000028604,FABIO AUGUSTO TOSCANI ANDRETTA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,640,"0,04"
2012,210000028953,JAIR GONÇALVES PRATES,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,644,"0,04"
2012,210000001023,RAMIRO GUERRA MARTINI,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,385,"0,03"
2012,210000017201,SENDHY SPINDOLA,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,44,"0,00"
2012,210000017159,CARLA SOARES TONDING,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,74,"0,01"
2012,210000000309,EDISON COSTA MARQUES,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,748,"0,05"
2012,210000010941,GUILHERME EUGENIO GUEDES FORTES,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,496,"0,03"
2012,210000000374,CLÁUDIO MARCOS PERES TORALLES,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,442,"0,03"
2012,210000000301,BERNARDINO VENDRUSCOLO,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,ELEITO,7386,"0,51"
2012,210000000440,CIRILO JOÃO FAE,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,2530,"0,17"
2012,210000033239,GIANDERSON GUIDO GIRARDI,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,NÃO ELEITO,27,"0,00"
2012,210000010613,IARA RIBEIRO MIRAGEM,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,222,"0,02"
2012,210000000308,DILMAIR MONTE DOS SANTOS,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,SUPLENTE,222,"0,02"
2012,210000010957,LINDO CRISTALDO,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,2095,"0,14"
2012,210000000295,ANDRE LUIS BUENO IRIGON,VEREADOR,MASCULINO,NÃO INFORMADO,LÊ E ESCREVE,SUPLENTE,206,"0,01"
2012,210000000320,JOSE CESLAVO SANTOS BARTOCHAK,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,93,"0,01"
2012,210000000468,PAULO CESAR DOS SANTOS BRUM,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,ELEITO,5575,"0,38"
2012,210000000480,TERESINHA CATARINA OLIVEIRA MARQUES,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,SUPLENTE,196,"0,01"
2012,210000000456,JOSÉ BATISTA BRERO,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,SUPLENTE,705,"0,05"
2012,210000034022,ANGELO MARCOS MORAES FERNANDES,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,72,"0,00"
2012,210000000331,MARCELO DANIEL DA SILVA CORREA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,SUPLENTE,771,"0,05"
2012,210000017195,RAFAEL CASTILHOS FURTADO,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,727,"0,05"
2012,210000018667,FERNANDA MELCHIONNA E SILVA,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,ELEITO,7214,"0,50"
2012,210000000330,MARCELO CARPES DOS SANTOS,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,160,"0,01"
2012,210000000293,AMARILDO PATROCINIO DA ROSA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,383,"0,03"
2012,210000033013,MANOEL MENANDRO DE ARAÚJO ROCHA FILHO,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,NÃO ELEITO,69,"0,00"
2012,210000017173,JOSÉ DORNELES PEREIRA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,531,"0,04"
2012,210000000363,ALBERTO MOURA TERRES,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,1270,"0,09"
2012,210000032983,ANTONIO NATAL MACIEL ORTIZ,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,NÃO ELEITO,287,"0,02"
2012,210000018670,HELENA CRISTINA BORGES,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,799,"0,05"
2012,210000017188,NINA NAIR JORNOOKI,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,3,"0,00"
