SQ_CANDIDATO,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NM_CANDIDATO,CD_GENERO,DS_GENERO,CD_GRAU_INSTRUCAO,DS_GRAU_INSTRUCAO,CD_COR_RACA,DS_COR_RACA,QT_VOTOS_NOMINAIS,PERC_VOTOS,CLASSIFICACAO,SITUACAO
210000000305,2012,88013,PORTO ALEGRE,13,VEREADOR,CONCEIÇÃO BEATRIZ ESPINDOLA BRASIL,4,FEMININO,2,LÊ E ESCREVE,-3,#NE#,48,0.00329526614422968,525,NÃO ELEITO
210000000337,2012,88013,PORTO ALEGRE,13,VEREADOR,PATRICIA LUCEIRO DE OLIVEIRA,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,537,0.03686578998856955,242,NÃO ELEITO
210000000348,2012,88013,PORTO ALEGRE,13,VEREADOR,SILVANA BRAZEIRO CONTI,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,801,0.05498975378183279,186,NÃO ELEITO
210000018684,2012,88013,PORTO ALEGRE,13,VEREADOR,LUIS FRANCISCO SIQUEIRA BARBOSA,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,61,0.004187734058291885,514,NÃO ELEITO
210000010969,2012,88013,PORTO ALEGRE,13,VEREADOR,MARIO PINTO DE FRAGA,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,3286,0.2255884281237235,61,NÃO ELEITO
210000032999,2012,88013,PORTO ALEGRE,13,VEREADOR,JOAO DE CARVALHO CALIXTO,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,292,0.02004620237739722,335,NÃO ELEITO
210000000477,2012,88013,PORTO ALEGRE,13,VEREADOR,SILCE ISOLETE RODRIGUES GARCIA,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,264,0.01812396379326324,347,NÃO ELEITO
210000000321,2012,88013,PORTO ALEGRE,13,VEREADOR,JOSÉ TARCISO DE SOUZA,2,MASCULINO,2,LÊ E ESCREVE,-3,#NE#,5231,0.3591153583430303,36,NÃO ELEITO
210000000370,2012,88013,PORTO ALEGRE,13,VEREADOR,CARLOS ROBERTO COMASSETTO,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,5426,0.37250237705396344,33,NÃO ELEITO
210000032990,2012,88013,PORTO ALEGRE,13,VEREADOR,DÓRIS LÉA SCHLATTER,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,17,0.001167073426081345,557,NÃO ELEITO
210000010956,2012,88013,PORTO ALEGRE,13,VEREADOR,LEILA KATHIA CASTRO CONCEIÇÃO,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,57,0.003913128546272745,517,NÃO ELEITO
210000000994,2012,88013,PORTO ALEGRE,13,VEREADOR,IDENIR JOAO CECCHIM,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,7556,0.5187298122041555,21,NÃO ELEITO
210000010653,2012,88013,PORTO ALEGRE,13,VEREADOR,VERA LUCIA DE SOUZA,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,168,0.011533431504803881,407,NÃO ELEITO
210000033015,2012,88013,PORTO ALEGRE,13,VEREADOR,MARISE DE OLIVEIRA GOMES,4,FEMININO,7,SUPERIOR INCOMPLETO,-3,#NE#,242,0.01661363347715797,358,NÃO ELEITO
210000000996,2012,88013,PORTO ALEGRE,13,VEREADOR,JACQUES GERCHMAN,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,146,0.01002310118869861,426,NÃO ELEITO
210000010965,2012,88013,PORTO ALEGRE,13,VEREADOR,MARIA ANGELA PELLIN DE MOLNAR,4,FEMININO,7,SUPERIOR INCOMPLETO,-3,#NE#,253,0.017368798635210608,353,NÃO ELEITO
210000033001,2012,88013,PORTO ALEGRE,13,VEREADOR,JOSIANE FRANÇA SANTOS,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,201,0.013798926978961784,388,NÃO ELEITO
210000010923,2012,88013,PORTO ALEGRE,13,VEREADOR,BELINA REGINA ROSA JORDÃO,4,FEMININO,5,ENSINO MÉDIO INCOMPLETO,-3,#NE#,94,0.00645322953244979,472,NÃO ELEITO
210000000375,2012,88013,PORTO ALEGRE,13,VEREADOR,DANIEL PEREIRA BITTENCOURT,2,MASCULINO,3,ENSINO FUNDAMENTAL INCOMPLETO,-3,#NE#,143,0.009817147054684255,428,NÃO ELEITO
210000000990,2012,88013,PORTO ALEGRE,13,VEREADOR,ELIANA MACHADO DE OLIVEIRA,4,FEMININO,5,ENSINO MÉDIO INCOMPLETO,-3,#NE#,141,0.009679844298674686,429,NÃO ELEITO
210000017182,2012,88013,PORTO ALEGRE,13,VEREADOR,MARIO ANTONIO MANFRO,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,3732,0.25620694271385763,54,NÃO ELEITO
210000031483,2012,88013,PORTO ALEGRE,13,VEREADOR,NUBEM AIRTON CABRAL MEDEIROS,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,498,0.03418838624638293,247,NÃO ELEITO
210000017196,2012,88013,PORTO ALEGRE,13,VEREADOR,RAMIRO STALLBAUM ROSARIO,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,1652,0.11341207646390482,110,NÃO ELEITO
210000000479,2012,88013,PORTO ALEGRE,13,VEREADOR,SIMONE DA CUNHA PEIXOTO,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,411,0.028215716359966638,283,NÃO ELEITO
210000010642,2012,88013,PORTO ALEGRE,13,VEREADOR,PEDRO DORNELES VIEIRA,2,MASCULINO,4,ENSINO FUNDAMENTAL COMPLETO,-3,#NE#,458,0.03144233112619153,262,NÃO ELEITO
210000035912,2012,88013,PORTO ALEGRE,13,VEREADOR,LAILA MARIA SOUZA DE ARAUJO,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,24,0.00164763307211484,548,NÃO ELEITO
210000000399,2012,88013,PORTO ALEGRE,13,VEREADOR,MURILO PARRINO AMATNEEKS,2,MASCULINO,7,SUPERIOR INCOMPLETO,-3,#NE#,2259,0.15508346291280933,89,NÃO ELEITO
210000010954,2012,88013,PORTO ALEGRE,13,VEREADOR,JOÃO PAULO DE ANDRADE CUNHA,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,1407,0.0965924888527325,125,NÃO ELEITO
210000000324,2012,88013,PORTO ALEGRE,13,VEREADOR,JUSSARA ROSA CONY,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,5686,0.3903517353352075,31,NÃO ELEITO
210000000396,2012,88013,PORTO ALEGRE,13,VEREADOR,MARIA CELESTE DE SOUZA DA SILVA,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,4705,0.32300473351251346,40,NÃO ELEITO
210000000372,2012,88013,PORTO ALEGRE,13,VEREADOR,CELSO WOYCIECHOWSKI,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,2138,0.14677664617423034,93,NÃO ELEITO
210000000314,2012,88013,PORTO ALEGRE,13,VEREADOR,GRACILIANO RODRIGUES,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,63,0.004325036814301455,511,NÃO ELEITO
210000010942,2012,88013,PORTO ALEGRE,13,VEREADOR,GUILHERME SOCIAS VILLELA,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,13574,0.9318738050369516,8,NÃO ELEITO
210000035052,2012,88013,PORTO ALEGRE,13,VEREADOR,KELLY GONÇALVES CORREA,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,2,0.00013730275600957,571,NÃO ELEITO
210000017197,2012,88013,PORTO ALEGRE,13,VEREADOR,REJANE RITA KAISER,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,106,0.00727704606850721,463,NÃO ELEITO
210000017178,2012,88013,PORTO ALEGRE,13,VEREADOR,LUIZ OTÁVIO ANDRADE VAZ SAMPAIO,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,39,0.002677403742186615,538,NÃO ELEITO
210000017189,2012,88013,PORTO ALEGRE,13,VEREADOR,PAULO ADIR FERREIRA,2,MASCULINO,7,SUPERIOR INCOMPLETO,-3,#NE#,99,0.006796486422473715,467,NÃO ELEITO
210000018662,2012,88013,PORTO ALEGRE,13,VEREADOR,ELISABETE PEREIRA LOPES,4,FEMININO,7,SUPERIOR INCOMPLETO,-3,#NE#,23,0.001578981694110055,550,NÃO ELEITO
210000010620,2012,88013,PORTO ALEGRE,13,VEREADOR,JUAREZ FRAGA CORREA DA COSTA JÚNIOR,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,1026,0.07043631383290941,160,NÃO ELEITO
210000010979,2012,88013,PORTO ALEGRE,13,VEREADOR,ROQUE RAUBER,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,583,0.04002375337678965,230,NÃO ELEITO
210000000434,2012,88013,PORTO ALEGRE,13,VEREADOR,ANDRÉ GILBERTO PEREIRA GONÇALVES,2,MASCULINO,7,SUPERIOR INCOMPLETO,-3,#NE#,326,0.02238034922955991,316,NÃO ELEITO
210000000452,2012,88013,PORTO ALEGRE,13,VEREADOR,JAIRTON FERREIRA PRATES,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,577,0.039611845108760944,231,NÃO ELEITO
210000030440,2012,88013,PORTO ALEGRE,13,VEREADOR,REGINALDO DA LUZ PUJOL,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,4165,0.2859329893899295,49,NÃO ELEITO
210000000382,2012,88013,PORTO ALEGRE,13,VEREADOR,JAIR BUENO,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,221,0.015171954539057486,376,NÃO ELEITO
210000000402,2012,88013,PORTO ALEGRE,13,VEREADOR,PEDRO LEONARDO DA LUZ LOSS,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,1619,0.11114658098974692,112,NÃO ELEITO
210000010980,2012,88013,PORTO ALEGRE,13,VEREADOR,SANDERLEY DOS SANTOS ALMEIDA,2,MASCULINO,3,ENSINO FUNDAMENTAL INCOMPLETO,-3,#NE#,147,0.010091752566703395,425,NÃO ELEITO
210000000999,2012,88013,PORTO ALEGRE,13,VEREADOR,JOÃO ANTÔNIO PANCINHA COSTA,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,1789,0.12281731525056036,107,NÃO ELEITO
210000010953,2012,88013,PORTO ALEGRE,13,VEREADOR,JOÃO BOSCO GRANATO VAZ,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,9493,0.6517075313994241,15,NÃO ELEITO
210000000296,2012,88013,PORTO ALEGRE,13,VEREADOR,ANDREA MILANI,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,314,0.02155653269350249,320,NÃO ELEITO
210000017181,2012,88013,PORTO ALEGRE,13,VEREADOR,MARIA DE LOURDES FERNANDES CAUDURO,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,46,0.00315796338822011,529,NÃO ELEITO
210000000381,2012,88013,PORTO ALEGRE,13,VEREADOR,JACQUELINE TEREZINHA URROZ SANCHOTENE,4,FEMININO,7,SUPERIOR INCOMPLETO,-3,#NE#,465,0.03192289077222502,257,NÃO ELEITO
210000028701,2012,88013,PORTO ALEGRE,13,VEREADOR,IVANIO BERNARDON,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,311,0.02135057855948814,322,NÃO ELEITO
210000010968,2012,88013,PORTO ALEGRE,13,VEREADOR,MARIA RITA CHANG,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,728,0.049978203187483486,202,NÃO ELEITO
210000000310,2012,88013,PORTO ALEGRE,13,VEREADOR,EDUARDO CLOIR DA SILVA,2,MASCULINO,2,LÊ E ESCREVE,-3,#NE#,319,0.021899789583526414,317,NÃO ELEITO
210000000344,2012,88013,PORTO ALEGRE,13,VEREADOR,RAMIRO SANTANA MORENO LOPEZ,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,1048,0.07194664414901468,157,NÃO ELEITO
210000010649,2012,88013,PORTO ALEGRE,13,VEREADOR,SÉRGIO ROBERTO SOARES NEGLIA,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,1419,0.09741630538878991,123,NÃO ELEITO
210000032993,2012,88013,PORTO ALEGRE,13,VEREADOR,FERNANDO MAZZOLA,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,49,0.003363917522234465,523,NÃO ELEITO
210000032980,2012,88013,PORTO ALEGRE,13,VEREADOR,ALEXANDER TEIXEIRA EBERHARDT,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,1358,0.09322857133049803,128,NÃO ELEITO
210000033006,2012,88013,PORTO ALEGRE,13,VEREADOR,LIZIANE PERES BERNARDES,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,308,0.021144624425473782,324,NÃO ELEITO
210000000988,2012,88013,PORTO ALEGRE,13,VEREADOR,DELVIA MARIA MORALES DA ROCHA PEREIRA,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,85,0.005835367130406725,480,NÃO ELEITO
210000017153,2012,88013,PORTO ALEGRE,13,VEREADOR,ADAIR CORREIA VARGAS,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,45,0.003089312010215325,532,NÃO ELEITO
210000010632,2012,88013,PORTO ALEGRE,13,VEREADOR,NEI BICA JUNQUEIRA,2,MASCULINO,7,SUPERIOR INCOMPLETO,-3,#NE#,436,0.02993200081008626,274,NÃO ELEITO
210000000980,2012,88013,PORTO ALEGRE,13,VEREADOR,ANA MARIA INÊS LEHN,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,79,0.005423458862378015,492,NÃO ELEITO
210000000405,2012,88013,PORTO ALEGRE,13,VEREADOR,THAÍS MARIA FERREIRA SAMPAIO,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,932,0.06398308430045963,168,NÃO ELEITO
210000010643,2012,88013,PORTO ALEGRE,13,VEREADOR,PEDRO LIBONATTI MARCHIORI,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,436,0.02993200081008626,274,NÃO ELEITO
210000028837,2012,88013,PORTO ALEGRE,13,VEREADOR,RUBIA ELEN ESMERIS,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,420,0.028833578762009697,280,NÃO ELEITO
210000029973,2012,88013,PORTO ALEGRE,11,PREFEITO,JOCELIN AZAMBUJA,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,4412,0.3028898797571114,44,NÃO ELEITO
210000018656,2012,88013,PORTO ALEGRE,13,VEREADOR,ARQUIMEDES MORAES DOS SANTOS,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,54,0.0037071744122583903,520,NÃO ELEITO
210000017169,2012,88013,PORTO ALEGRE,13,VEREADOR,JARI BELLAVER MONTEIRO,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,148,0.01016040394470818,422,NÃO ELEITO
210000010602,2012,88013,PORTO ALEGRE,13,VEREADOR,CARLOS ROBERTO DE OLIVEIRA PECH,2,MASCULINO,7,SUPERIOR INCOMPLETO,-3,#NE#,1315,0.09027656207629228,131,NÃO ELEITO
210000010958,2012,88013,PORTO ALEGRE,13,VEREADOR,LISE FONTES RIES,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,74,0.00508020197235409,498,NÃO ELEITO
210000017198,2012,88013,PORTO ALEGRE,13,VEREADOR,ROBERTO FERRAZ SABINO,2,MASCULINO,4,ENSINO FUNDAMENTAL COMPLETO,-3,#NE#,77,0.0052861561063684455,495,NÃO ELEITO
210000000317,2012,88013,PORTO ALEGRE,13,VEREADOR,JEFERSON HENRIQUE AGUIAR PEREIRA,2,MASCULINO,7,SUPERIOR INCOMPLETO,-3,#NE#,852,0.05849097406007682,178,NÃO ELEITO
210000000991,2012,88013,PORTO ALEGRE,13,VEREADOR,ELIAS INCHAUSTE PIRES,2,MASCULINO,4,ENSINO FUNDAMENTAL COMPLETO,-3,#NE#,245,0.016819587611172325,355,NÃO ELEITO
210000000335,2012,88013,PORTO ALEGRE,13,VEREADOR,MARISTELA MAFFEI,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,1833,0.1258379758827709,102,NÃO ELEITO
210000010637,2012,88013,PORTO ALEGRE,13,VEREADOR,PAULO CESAR TONELLO,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,44,0.00302066063221054,533,NÃO ELEITO
210000000457,2012,88013,PORTO ALEGRE,13,VEREADOR,LAERCIO THADEU PEREIRA DA SILVA,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,508,0.03487490002643078,246,NÃO ELEITO
210000000983,2012,88013,PORTO ALEGRE,13,VEREADOR,ANTONIO AUGUSTO DA SILVA FAGUNDES,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,1164,0.07991020399756975,146,NÃO ELEITO
210000000403,2012,88013,PORTO ALEGRE,13,VEREADOR,SOFIA CAVEDON NUNES,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,7085,0.4863950131639017,24,NÃO ELEITO
210000000981,2012,88013,PORTO ALEGRE,13,VEREADOR,ANA VOLUZIA RAMOS DE CARVALHO,4,FEMININO,4,ENSINO FUNDAMENTAL COMPLETO,-3,#NE#,231,0.015858468319105333,369,NÃO ELEITO
210000010612,2012,88013,PORTO ALEGRE,13,VEREADOR,GLADIS DE SOUZA COUTO,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,266,0.01826126654927281,345,NÃO ELEITO
210000000987,2012,88013,PORTO ALEGRE,13,VEREADOR,CRISTINA VIEIRA DOS REIS,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,218,0.01496600040504313,380,NÃO ELEITO
210000000376,2012,88013,PORTO ALEGRE,13,VEREADOR,DIÓGENES BERTHES DA SILVA,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,297,0.020389459267421146,331,NÃO ELEITO
210000010633,2012,88013,PORTO ALEGRE,13,VEREADOR,NORMA GONÇALVES CADAVAL,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,153,0.010503660834732104,419,NÃO ELEITO
210000001024,2012,88013,PORTO ALEGRE,13,VEREADOR,RAUL TORELLY FRAGA,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,3269,0.22442135469764218,62,NÃO ELEITO
210000000436,2012,88013,PORTO ALEGRE,13,VEREADOR,ANTONIO CARLOS ROSS DE ABREU,2,MASCULINO,3,ENSINO FUNDAMENTAL INCOMPLETO,-3,#NE#,591,0.040572964400827936,228,NÃO ELEITO
210000000445,2012,88013,PORTO ALEGRE,13,VEREADOR,ELIZANDRO SILVA DE FREITAS SABINO,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,6741,0.46277893913025564,25,NÃO ELEITO
210000001019,2012,88013,PORTO ALEGRE,13,VEREADOR,PARAGUASSÚ CAMARGO GONÇALVES,2,MASCULINO,7,SUPERIOR INCOMPLETO,-3,#NE#,422,0.028970881518019274,278,NÃO ELEITO
210000010641,2012,88013,PORTO ALEGRE,13,VEREADOR,PAULO SÉRGIO DOS SANTOS,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,120,0.008238165360574201,447,NÃO ELEITO
210000001025,2012,88013,PORTO ALEGRE,13,VEREADOR,ROSEMARIE STEIN,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,43,0.0029520092542057548,535,NÃO ELEITO
210000010924,2012,88013,PORTO ALEGRE,13,VEREADOR,BÁRBARA REGINA SANTOS DOS SANTOS,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,85,0.005835367130406725,480,NÃO ELEITO
210000010604,2012,88013,PORTO ALEGRE,13,VEREADOR,COPINARÉ ACOSTA,2,MASCULINO,7,SUPERIOR INCOMPLETO,-3,#NE#,843,0.05787311165803376,181,NÃO ELEITO
210000010618,2012,88013,PORTO ALEGRE,13,VEREADOR,JOSÉ NATIVIDADE COLMÃO MARTINS,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,82,0.00562941299639237,485,NÃO ELEITO
210000029636,2012,88013,PORTO ALEGRE,13,VEREADOR,OSAMU ALBERTO HIRAIWA,2,MASCULINO,5,ENSINO MÉDIO INCOMPLETO,-3,#NE#,276,0.01894778032932066,343,NÃO ELEITO
210000010623,2012,88013,PORTO ALEGRE,13,VEREADOR,LURDES AGATA GUICONI,4,FEMININO,5,ENSINO MÉDIO INCOMPLETO,-3,#NE#,2632,0.18069042690859413,77,NÃO ELEITO
210000033009,2012,88013,PORTO ALEGRE,13,VEREADOR,LUIZ ALBERTO NEGRINHO DE OLIVEIRA JÚNIOR,2,MASCULINO,5,ENSINO MÉDIO INCOMPLETO,-3,#NE#,209,0.014348138003000065,386,NÃO ELEITO
210000030238,2012,88013,PORTO ALEGRE,13,VEREADOR,ELZA TEREZINHA DALLA LANA,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,82,0.00562941299639237,485,NÃO ELEITO
210000000290,2012,88013,PORTO ALEGRE,13,VEREADOR,ADALBERTO CÉSAR PEREIRA,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,234,0.01606442245311969,366,NÃO ELEITO
210000000404,2012,88013,PORTO ALEGRE,13,VEREADOR,SONIA SARAÍ DE LIMA SOARES,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,1598,0.10970490205164643,114,NÃO ELEITO
210000001013,2012,88013,PORTO ALEGRE,13,VEREADOR,OSMAR ANTONIO GOI,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,881,0.060481864022215594,173,NÃO ELEITO
210000029611,2012,88013,PORTO ALEGRE,13,VEREADOR,NILZA TEREZINHA SIQUEIRA,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,72,0.00494289921634452,503,NÃO ELEITO
210000000312,2012,88013,PORTO ALEGRE,13,VEREADOR,FERNANDO DORNELES MAGADAN,2,MASCULINO,7,SUPERIOR INCOMPLETO,-3,#NE#,171,0.011739385638818236,406,NÃO ELEITO
210000001008,2012,88013,PORTO ALEGRE,13,VEREADOR,MARILIA ALVES FIDELL,4,FEMININO,4,ENSINO FUNDAMENTAL COMPLETO,-3,#NE#,2267,0.1556326739368476,88,NÃO ELEITO
